+----------+-----------+----------+----------+-----------+------------+---------+-----------+----------+----------+-----------+------------+---------+------------+----------+----------+-----------+------------+---------+------------+
| Approach |   Metric  | BC Top-1 | BC Top-5 | BC Top-10 | BC Top-200 | BC Exam | BC Effort | AC Top-1 | AC Top-5 | AC Top-10 | AC Top-200 | AC Exam | AC Effort  | WC Top-1 | WC Top-5 | WC Top-10 | WC Top-200 | WC Exam | WC Effort  |
+----------+-----------+----------+----------+-----------+------------+---------+-----------+----------+----------+-----------+------------+---------+------------+----------+----------+-----------+------------+---------+------------+
|  w/o TW  | TARANTULA |  $ 0.13  |    0.25  |     0.28  |     0.47   |    0.10 |   6072.76 |  $ 0.10  |    0.19  |     0.21  |   $ 0.38   |    0.17 |   10787.96 |  $ 0.07  |    0.14  |     0.15  |   $ 0.29   |    0.32 | $ 29290.63 |
|          |   OCHIAI  |  $ 0.13  |    0.24  |     0.27  |     0.45   |    0.10 |   6080.13 |  $ 0.10  |    0.18  |     0.21  |   $ 0.36   |    0.17 |   10792.19 |  $ 0.08  |    0.14  |     0.16  |   $ 0.28   |    0.32 | $ 29290.78 |
|          |     D*    |  $ 0.08  |    0.13  |     0.16  |   $ 0.36   |    0.12 |   6627.27 |  $ 0.06  |    0.09  |     0.12  |   $ 0.29   |    0.19 |   11283.96 |  $ 0.04  |    0.07  |     0.09  |   $ 0.22   |    0.33 | $ 29688.98 |
|          |   NAISH1  |  $ 0.13  |    0.23  |     0.25  |   + 0.45   |    0.11 |   6116.37 |  $ 0.10  |    0.17  |     0.19  |   + 0.36   |    0.17 |   10840.22 |  $ 0.08  |    0.14  |     0.15  |   + 0.28   |    0.32 | + 29312.55 |
|          |   NAISH2  |  $ 0.13  |    0.23  |     0.26  |     0.46   |    0.10 |   6076.69 |  $ 0.10  |    0.18  |     0.19  |   $ 0.37   |    0.17 |   10795.87 |  $ 0.08  |    0.14  |     0.15  |   $ 0.28   |    0.32 | $ 29279.21 |
|          |    GP13   |  $ 0.13  |    0.23  |     0.26  |   $ 0.45   |    0.10 |   6087.53 |  $ 0.10  |    0.17  |     0.19  |   $ 0.36   |    0.17 |   10815.32 |  $ 0.08  |    0.14  |     0.15  |   $ 0.28   |    0.32 | $ 29303.09 |
|   PRFL   | TARANTULA |    0.12  |  # 0.26  |   # 0.30  |   # 0.47   |  + 0.09 | + 4442.17 |    0.09  |  # 0.19  |   # 0.22  |     0.37   |  + 0.15 | + 10144.41 |    0.07  |  # 0.15  |   # 0.17  |     0.28   |  + 0.31 |   33772.70 |
|          |   OCHIAI  |    0.12  |  # 0.26  |   # 0.30  |   # 0.46   |  + 0.09 | + 4451.13 |    0.09  |  # 0.19  |   # 0.22  |     0.36   |  + 0.15 | + 10149.19 |    0.07  |  # 0.15  |   # 0.17  |     0.27   |  + 0.30 |   33772.55 |
|          |     D*    |    0.07  |  # 0.16  |   # 0.21  |     0.36   |  + 0.11 | + 4761.89 |    0.05  |  # 0.11  |   # 0.15  |     0.28   |  + 0.17 | + 10423.93 |    0.04  |  + 0.08  |   # 0.11  |     0.21   |  + 0.32 |   33988.05 |
|          |   NAISH1  |    0.12  |  # 0.25  |   # 0.27  |     0.45   |  + 0.09 | + 4482.47 |    0.09  |  # 0.19  |   # 0.20  |     0.36   |  + 0.16 | + 10165.27 |    0.07  |  + 0.15  |   # 0.16  |     0.27   |  + 0.30 |   33773.32 |
|          |   NAISH2  |    0.12  |  # 0.25  |   # 0.28  |   # 0.46   |  + 0.09 | + 4442.09 |    0.09  |  # 0.19  |   # 0.21  |     0.36   |  + 0.16 | + 10119.58 |    0.07  |  # 0.15  |   # 0.17  |     0.28   |  + 0.31 |   33747.74 |
|          |    GP13   |    0.12  |  # 0.25  |   # 0.27  |     0.45   |  + 0.09 | + 4461.48 |    0.09  |  # 0.19  |   # 0.21  |     0.36   |  + 0.16 | + 10152.52 |    0.07  |  # 0.15  |   # 0.17  |     0.27   |  + 0.30 |   33772.55 |
|   TW_L   | TARANTULA |  + 0.16  |  * 0.29  |   * 0.34  |   * 0.55   |  # 0.10 | # 5906.52 |  * 0.11  |  * 0.21  |   * 0.25  |   * 0.46   |  # 0.17 | # 10653.23 |  * 0.09  |  * 0.16  |   * 0.19  |   * 0.36   |  # 0.32 | + 29185.58 |
|          |   OCHIAI  |  * 0.16  |  * 0.29  |   * 0.34  |   * 0.54   |  # 0.10 | # 5908.51 |  * 0.12  |  * 0.22  |   * 0.26  |   * 0.45   |  # 0.17 | # 10656.39 |  * 0.09  |  * 0.17  |   * 0.20  |   * 0.35   |  # 0.32 | + 29184.86 |
|          |     D*    |  * 0.09  |  * 0.16  |   * 0.21  |   * 0.42   |  # 0.12 | # 6466.41 |  * 0.06  |  * 0.11  |   * 0.16  |   * 0.34   |  # 0.19 | # 11155.26 |  * 0.05  |  # 0.08  |   * 0.12  |   * 0.27   |  # 0.33 | + 29585.32 |
|          |   NAISH1  |  + 0.15  |  # 0.25  |   * 0.28  |     0.43   |    0.11 |   6189.47 |  + 0.11  |  # 0.18  |   * 0.21  |     0.35   |    0.18 |   10893.48 |  + 0.09  |  # 0.14  |   * 0.17  |     0.27   |    0.32 | $ 29392.33 |
|          |   NAISH2  |  + 0.16  |  * 0.28  |   * 0.34  |   * 0.53   |  # 0.10 | # 5909.91 |  + 0.12  |  * 0.21  |   * 0.25  |   * 0.44   |  # 0.17 | # 10658.49 |  * 0.09  |  * 0.16  |   * 0.19  |   * 0.35   |  # 0.32 | + 29176.27 |
|          |    GP13   |  * 0.16  |  * 0.28  |   * 0.33  |   * 0.54   |  # 0.10 | # 5905.12 |  * 0.11  |  * 0.21  |   * 0.25  |   * 0.45   |  # 0.17 | # 10654.86 |  * 0.09  |  * 0.16  |   * 0.20  |   * 0.36   |  # 0.32 | + 29181.60 |
|  TW_DU   | TARANTULA |  * 0.15  |  * 0.30  |   * 0.35  |   * 0.54   |  # 0.10 | # 5926.46 |  + 0.11  |  * 0.21  |   * 0.26  |   * 0.45   |  # 0.17 | # 10679.12 |  * 0.09  |  * 0.16  |   * 0.20  |   * 0.35   |  # 0.32 | * 29204.88 |
|          |   OCHIAI  |  * 0.16  |  * 0.29  |   * 0.34  |   * 0.53   |  # 0.10 | # 5928.64 |  * 0.12  |  * 0.21  |   * 0.26  |   * 0.44   |  # 0.17 | # 10682.23 |  * 0.09  |  * 0.16  |   * 0.20  |   * 0.34   |  # 0.32 | * 29204.20 |
|          |     D*    |  * 0.09  |  * 0.17  |   * 0.22  |   * 0.42   |  # 0.12 | # 6484.64 |  * 0.07  |  * 0.12  |   * 0.16  |   * 0.34   |  # 0.19 | # 11177.89 |  * 0.05  |  # 0.08  |   * 0.12  |   * 0.27   |  # 0.33 | * 29603.94 |
|          |   NAISH1  |  * 0.15  |  * 0.25  |   * 0.28  |     0.43   |    0.11 |   6192.33 |  * 0.11  |  # 0.19  |   * 0.21  |     0.35   |    0.18 |   10892.36 |  * 0.09  |  # 0.15  |   * 0.17  |     0.27   |    0.32 | $ 29388.78 |
|          |   NAISH2  |  * 0.15  |  * 0.29  |   * 0.35  |   * 0.53   |  # 0.10 | # 5928.26 |  * 0.11  |  * 0.22  |   * 0.26  |   * 0.44   |  # 0.17 | # 10674.59 |  + 0.09  |  * 0.17  |   * 0.20  |   * 0.35   |  # 0.32 | * 29194.55 |
|          |    GP13   |  * 0.16  |  * 0.29  |   * 0.35  |   * 0.53   |  # 0.10 | # 5927.55 |  + 0.12  |  * 0.22  |   * 0.27  |   * 0.44   |  # 0.17 | # 10680.88 |  + 0.09  |  * 0.16  |   * 0.20  |   * 0.34   |  # 0.32 | * 29205.02 |
|  TW_DUU  | TARANTULA |  * 0.15  |  * 0.30  |   * 0.36  |   * 0.55   |  # 0.10 | # 5917.15 |  * 0.11  |  * 0.22  |   * 0.26  |   * 0.46   |  # 0.17 | # 10663.45 |  * 0.09  |  * 0.16  |   * 0.20  |   * 0.36   |  # 0.32 | * 29195.19 |
|          |   OCHIAI  |  * 0.15  |  * 0.29  |   * 0.35  |   * 0.54   |  # 0.10 | # 5918.78 |  * 0.12  |  * 0.21  |   * 0.27  |   * 0.45   |  # 0.17 | # 10666.13 |  * 0.09  |  * 0.16  |   * 0.20  |   * 0.35   |  # 0.32 | * 29194.09 |
|          |     D*    |  * 0.09  |  * 0.17  |   * 0.22  |   * 0.43   |  # 0.12 | # 6474.82 |  + 0.07  |  * 0.12  |   * 0.16  |   + 0.34   |  # 0.19 | # 11163.74 |  + 0.05  |  # 0.08  |   * 0.12  |   + 0.27   |  # 0.33 | * 29593.20 |
|          |   NAISH1  |  * 0.15  |  * 0.25  |   * 0.29  |     0.44   |    0.11 |   6190.69 |  * 0.11  |  # 0.19  |   * 0.21  |     0.35   |    0.18 |   10893.51 |  * 0.09  |  # 0.15  |   * 0.17  |     0.27   |    0.32 | $ 29388.06 |
|          |   NAISH2  |  * 0.15  |  * 0.29  |   * 0.35  |   * 0.54   |  # 0.10 | # 5918.98 |  * 0.11  |  * 0.22  |   * 0.26  |   * 0.45   |  # 0.17 | # 10667.24 |  * 0.09  |  * 0.17  |   * 0.20  |   * 0.35   |  # 0.32 | * 29184.85 |
|          |    GP13   |  + 0.16  |  * 0.29  |   * 0.35  |   * 0.54   |  # 0.10 | # 5916.90 |  * 0.12  |  * 0.21  |   * 0.26  |   * 0.45   |  # 0.17 | # 10667.09 |  * 0.09  |  * 0.16  |   * 0.20  |   * 0.35   |  # 0.32 | * 29194.23 |
|  TW_ADU  | TARANTULA |  * 0.15  |  * 0.30  |   * 0.36  |   * 0.55   |  # 0.10 | # 5916.02 |  * 0.11  |  * 0.22  |   * 0.27  |   * 0.46   |  # 0.17 | # 10666.60 |  * 0.09  |  * 0.17  |   * 0.20  |   * 0.36   |  # 0.32 | * 29194.27 |
|          |   OCHIAI  |  * 0.16  |  * 0.29  |   * 0.34  |   * 0.53   |  # 0.10 | # 5917.49 |  + 0.12  |  * 0.22  |   * 0.26  |   * 0.44   |  # 0.17 | # 10669.13 |  + 0.09  |  * 0.16  |   * 0.20  |   * 0.35   |  # 0.32 | * 29193.33 |
|          |     D*    |  + 0.09  |  * 0.17  |   * 0.22  |   * 0.42   |  # 0.12 | # 6474.52 |  * 0.07  |  * 0.12  |   * 0.16  |   * 0.34   |  # 0.19 | # 11163.63 |  * 0.05  |  # 0.08  |   * 0.12  |   * 0.27   |  # 0.33 | * 29593.82 |
