+-----------+-----------+----------+----------+-----------+------------+---------+-----------+----------+----------+-----------+------------+---------+------------+----------+----------+-----------+------------+---------+------------+
|  Approach |   Metric  | BC Top-1 | BC Top-5 | BC Top-10 | BC Top-200 | BC Exam | BC Effort | AC Top-1 | AC Top-5 | AC Top-10 | AC Top-200 | AC Exam | AC Effort  | WC Top-1 | WC Top-5 | WC Top-10 | WC Top-200 | WC Exam | WC Effort  |
+-----------+-----------+----------+----------+-----------+------------+---------+-----------+----------+----------+-----------+------------+---------+------------+----------+----------+-----------+------------+---------+------------+
|    PRFL   | TARANTULA |    0.12  |    0.26  |     0.30  |     0.47   |    0.09 |   4442.17 |    0.09  |    0.19  |     0.22  |     0.37   |    0.15 |   10144.41 |    0.07  |    0.15  |     0.17  |     0.28   |    0.31 |   33772.70 |
|           |   OCHIAI  |    0.12  |    0.26  |     0.30  |     0.46   |    0.09 |   4451.13 |    0.09  |    0.19  |     0.22  |     0.36   |    0.15 |   10149.19 |    0.07  |    0.15  |     0.17  |     0.27   |    0.30 |   33772.55 |
|           |     D*    |    0.07  |    0.16  |     0.21  |     0.36   |    0.11 |   4761.89 |    0.05  |    0.11  |     0.15  |     0.28   |    0.17 |   10423.93 |    0.04  |    0.08  |     0.11  |     0.21   |    0.32 |   33988.05 |
|           |   NAISH1  |    0.12  |    0.25  |     0.27  |   + 0.45   |  + 0.09 | + 4482.47 |    0.09  |    0.19  |     0.20  |   + 0.36   |  + 0.16 | + 10165.27 |    0.07  |    0.15  |     0.16  |   + 0.27   |  + 0.30 | + 33773.32 |
|           |   NAISH2  |    0.12  |    0.25  |     0.28  |     0.46   |    0.09 |   4442.09 |    0.09  |    0.19  |     0.21  |     0.36   |    0.16 |   10119.58 |    0.07  |    0.15  |     0.17  |     0.28   |    0.31 |   33747.74 |
|           |    GP13   |    0.12  |    0.25  |     0.27  |     0.45   |    0.09 |   4461.48 |    0.09  |    0.19  |     0.21  |     0.36   |    0.16 |   10152.52 |    0.07  |    0.15  |     0.17  |     0.27   |    0.30 |   33772.55 |
|   PRFL_L  | TARANTULA |  $ 0.14  |  $ 0.32  |   $ 0.37  |   $ 0.56   |  $ 0.09 | $ 4236.06 |  $ 0.10  |  $ 0.23  |   $ 0.28  |   $ 0.46   |  $ 0.15 | $ 9982.05  |  $ 0.08  |  $ 0.17  |   $ 0.21  |   $ 0.36   |  $ 0.30 | $ 33644.56 |
|           |   OCHIAI  |  $ 0.15  |  $ 0.31  |   $ 0.36  |   $ 0.56   |  $ 0.08 | $ 4243.04 |  $ 0.10  |  $ 0.22  |   $ 0.27  |   $ 0.46   |  $ 0.15 | $ 9988.93  |  $ 0.08  |  $ 0.17  |   $ 0.21  |   $ 0.36   |  $ 0.30 | $ 33644.99 |
|           |     D*    |  $ 0.08  |  $ 0.18  |   $ 0.26  |   $ 0.43   |  $ 0.10 | $ 4566.25 |  $ 0.05  |  $ 0.13  |   $ 0.18  |   $ 0.34   |  $ 0.17 | $ 10275.02 |  $ 0.04  |  $ 0.10  |   $ 0.14  |   $ 0.27   |  $ 0.32 | $ 33862.45 |
|           |   NAISH1  |  $ 0.14  |  $ 0.26  |   $ 0.30  |     0.43   |    0.10 |   4605.15 |  $ 0.10  |  $ 0.20  |   $ 0.24  |     0.34   |    0.16 |   10268.54 |  $ 0.08  |  $ 0.16  |   $ 0.19  |     0.25   |    0.31 |   33893.29 |
|           |   NAISH2  |  $ 0.14  |  $ 0.30  |   $ 0.35  |   $ 0.55   |  $ 0.09 | $ 4233.97 |  $ 0.10  |  $ 0.22  |   $ 0.27  |   $ 0.45   |  $ 0.15 | $ 9974.47  |  $ 0.08  |  $ 0.17  |   $ 0.21  |   $ 0.35   |  $ 0.30 | $ 33633.64 |
|           |    GP13   |  $ 0.14  |  $ 0.30  |   $ 0.36  |   $ 0.56   |  $ 0.09 | $ 4231.90 |  $ 0.10  |  $ 0.22  |   $ 0.27  |   $ 0.46   |  $ 0.15 | $ 9980.31  |  $ 0.08  |  $ 0.18  |   $ 0.21  |   $ 0.36   |  $ 0.30 | $ 33644.14 |
|  PRFL_DU  | TARANTULA |  $ 0.13  |  $ 0.32  |   $ 0.38  |   $ 0.56   |  $ 0.09 | $ 4264.14 |  $ 0.10  |  $ 0.22  |   $ 0.29  |   $ 0.45   |  $ 0.15 | $ 10018.36 |  $ 0.08  |  $ 0.17  |   $ 0.22  |   $ 0.36   |  $ 0.30 | $ 33672.19 |
|           |   OCHIAI  |  $ 0.15  |  $ 0.31  |   $ 0.37  |   $ 0.55   |  $ 0.09 | $ 4270.43 |  $ 0.11  |  $ 0.22  |   $ 0.28  |   $ 0.45   |  $ 0.15 | $ 10025.12 |  $ 0.08  |  $ 0.17  |   $ 0.21  |   $ 0.35   |  $ 0.30 | $ 33671.37 |
|           |     D*    |  $ 0.09  |  $ 0.19  |   $ 0.26  |   $ 0.42   |  $ 0.10 | $ 4592.66 |  $ 0.06  |  $ 0.13  |   $ 0.18  |   $ 0.34   |  $ 0.17 | $ 10307.46 |  $ 0.05  |  $ 0.10  |   $ 0.14  |   $ 0.26   |  $ 0.32 | $ 33888.84 |
|           |   NAISH1  |  $ 0.13  |  $ 0.27  |   $ 0.31  |     0.43   |    0.10 |   4608.92 |  $ 0.10  |  $ 0.20  |   $ 0.23  |     0.34   |    0.16 |   10273.35 |  $ 0.08  |  $ 0.16  |   $ 0.18  |     0.25   |    0.31 |   33892.58 |
